GCF NAME							
B41012	B41012.1	B41012.2	B41012.3	B41012.4			
GCF_000009005	NC_007622.1						
GCF_000009585	NC_017333.1	NC_017334.1	NC_017335.1	NC_017336.1			
GCF_000009645	NC_002745.2	NC_003140.1					
GCF_000009665	NC_002758.2	NC_002774.1					
GCF_000010445	NC_009782.1						
GCF_000010465	NC_009641.1						
GCF_000011265	NC_003923.1						
GCF_000011505	NC_002952.2						
GCF_000011525	NC_002953.3	NC_005951.1					
GCF_000012045	NC_002951.2	NC_006629.2					
GCF_000013425	NC_007795.1						
GCF_000013465	NC_007793.1	NC_007790.1	NC_007791.1	NC_007792.1			
GCF_000016805	NC_009487.1	NC_009477.1					
GCF_000017085	NC_010079.1	NC_012417.1	NC_010063.1				
GCF_000024585	NC_013450.1	NC_013453.1	NC_013451.1	NC_013452.1			
GCF_000025145	NC_017340.1						
GCF_000027045	NC_017331.1	NC_017352.1	NC_017332.1				
GCF_000144955	NC_017338.1	NC_017339.1					
GCF_000145595	NC_017341.1						
GCF_000159535	NC_017342.1	NC_017345.1					
GCF_000160335	NC_022113.1	NC_022126.1					
GCF_000189455	NZ_CP025395.1						
GCF_000204665	NC_017347.1						
GCF_000210315	NC_017337.1						
GCF_000237125	NC_016928.2	NZ_CP039996.1					
GCF_000237265	NC_017349.1	NC_017348.1					
GCF_000239235	NC_017351.1	NC_017350.1					
GCF_000245495	NC_016912.1						
GCF_000253135	NC_017343.1	NC_017346.1	NC_017344.1				
GCF_000284535	NC_017763.1						
GCF_000296595	NC_018608.1						
GCF_000382965	NC_020533.1	NC_020534.1					
GCF_000382985	NC_020566.1	NC_020535.1					
GCF_000383005	NC_020568.1	NC_020539.1					
GCF_000412775	NC_021554.1	NC_021552.1					
GCF_000418345	NC_021670.1	NC_021657.1					
GCF_000452385	NZ_CP012409.1						
GCF_000462955	NC_022222.1						
GCF_000463055	NC_022226.1	NC_022227.1	NC_022228.1				
GCF_000470845	NC_022442.1						
GCF_000470865	NC_022443.1						
GCF_000485885	NC_022604.1	NC_022610.1	NC_022605.1				
GCF_000568455	NZ_CP007176.1	NZ_CP007177.1	NZ_CP007178.1				
GCF_000597965	NZ_CP007454.1	NZ_CP007455.1					
GCF_000626615	NZ_CP007539.2						
GCF_000695215	NZ_CP007659.1						
GCF_000695875	NZ_CP007690.1						
GCF_000737615	NZ_CP006630.1						
GCF_000746505	NZ_CP007499.1	NZ_CP007500.1					
GCF_000756205	NZ_CP009361.1	NZ_CP009362.1					
GCF_000769575	NZ_CP009681.1						
GCF_000772025	NZ_CP009554.1						
GCF_000815045	NZ_CP010295.1						
GCF_000815085	NZ_CP010296.1						
GCF_000815125	NZ_CP010297.1						
GCF_000815165	NZ_CP010298.1						
GCF_000815205	NZ_CP010299.1						
GCF_000815245	NZ_CP010300.1						
GCF_000828035	NZ_CP010526.1						
GCF_000953255	NZ_LN626917.1						
GCF_000967325	NC_020529.1	NC_020530.1					
GCF_000967345	NC_020564.1	NC_020531.1					
GCF_000967365	NC_020532.1	NC_020565.1					
GCF_000967385	NC_020536.1	NC_020567.1					
GCF_000967405	NC_020537.1	NC_020538.1					
GCF_000969225	NZ_CP011147.1						
GCF_001018645	NZ_CP026964.1	NZ_CP026965.1	NZ_CP026966.1	NZ_CP026967.1			
GCF_001018655	NZ_CP026962.1	NZ_CP026963.1					
GCF_001018685	NZ_CP026076.1						
GCF_001018725	NZ_CP026961.1						
GCF_001018735	NZ_CP026080.1	NZ_CP026081.1					
GCF_001018775	NZ_CP026063.1						
GCF_001018805	NZ_CP026960.1						
GCF_001018835	NZ_CP026064.1	NZ_CP026065.1					
GCF_001018845	NZ_CP026067.1						
GCF_001018915	NZ_CP026070.1						
GCF_001018975	NZ_CP026071.1						
GCF_001019125	NZ_CP026957.1						
GCF_001019205	NZ_CP026953.1	NZ_CP026954.1	NZ_CP026955.1	NZ_CP026956.1			
GCF_001019255	NZ_CP026968.1	NZ_CP026969.1	NZ_CP026970.1	NZ_CP026971.1	NZ_CP026972.1		
GCF_001019275	NZ_CP026077.1	NZ_CP026078.1					
GCF_001019305	NZ_CP026079.1						
GCF_001019395	NZ_CP026066.1						
GCF_001019415	NZ_CP026068.1						
GCF_001019435	NZ_CP026069.1						
GCF_001019485	NZ_CP026072.1						
GCF_001019495	NZ_CP026958.1	NZ_CP026959.1					
GCF_001019535	NZ_CP026073.1						
GCF_001019575	NZ_CP026074.1	NZ_CP026075.1					
GCF_001021875	NZ_CP007670.1	NZ_CP007671.1					
GCF_001021895	NZ_CP007674.1	NZ_CP007675.1					
GCF_001027045	NZ_CP011528.1	NZ_CP011529.1					
GCF_001027105	NZ_CP011526.1	NZ_CP011527.1					
GCF_001045795	NZ_CP007672.1	NZ_CP007673.1					
GCF_001045995	NZ_CP007676.1	NZ_CP007677.1	NZ_CP007678.1	NZ_CP007679.1			
GCF_001046095	NZ_CP007657.1	NZ_CP007658.1					
GCF_001183705	NZ_CP012119.2	NZ_CP012118.2	NZ_CP025490.1				
GCF_001183725	NZ_CP012120.2	NZ_CP012121.2	NZ_CP025489.1				
GCF_001278745	NZ_CP012593.1	NZ_CP012594.1	NZ_CP012595.1	NZ_CP012596.1			
GCF_001281145	NZ_CP010890.1	NZ_CP010891.1					
GCF_001296985	NZ_CP010402.1	NZ_CP010403.1	NZ_CP010404.1				
GCF_001298325	NZ_CP019945.1						
GCF_001307235	NZ_CP012756.1	NZ_CP012757.1					
GCF_001444345	NZ_CP013137.1						
GCF_001456215	NZ_CP009828.1						
GCF_001457495	NZ_LN831036.1	NZ_LN831037.1	NZ_LN831038.1				
GCF_001465635	NZ_CP013616.1	NZ_CP013617.1	NZ_CP013618.1				
GCF_001465675	NZ_CP013619.1	NZ_CP013620.1					
GCF_001465755	NZ_CP013621.1						
GCF_001515665	NZ_CP012015.1	NZ_CP012016.1					
GCF_001515685	NZ_CP012013.1	NZ_CP012014.1					
GCF_001515705	NZ_CP012018.1	NZ_CP012017.1					
GCF_001515745	NZ_CP012011.1						
GCF_001515765	NZ_CP012012.1						
GCF_001548295	NZ_AP014942.1	NZ_AP014943.1					
GCF_001548415	NZ_AP017320.1	NZ_AP017321.1					
GCF_001549655	NZ_AP014652.1						
GCF_001549675	NZ_AP014653.1						
GCF_001558795	NZ_CP014064.2	NZ_CP014063.1					
GCF_001580495	NZ_CP010998.1						
GCF_001580515	NZ_CP013231.1	NZ_CP013227.1	NZ_CP013228.1	NZ_CP013229.1	NZ_CP013230.1		
GCF_001594205	NZ_CP014791.1						
GCF_001611325	NZ_CP012979.1	NZ_CP012980.1					
GCF_001611345	NZ_CP012978.1						
GCF_001611365	NZ_CP012976.1	NZ_CP012977.1					
GCF_001611385	NZ_CP012974.1	NZ_CP012975.1					
GCF_001611405	NZ_CP012972.1	NZ_CP012973.1					
GCF_001611425	NZ_CP012970.1	NZ_CP012971.1					
GCF_001618305	NZ_CP015173.1	NZ_CP015174.1	NZ_CP015175.1				
GCF_001640885	NZ_CP011685.1						
GCF_001640905	NZ_CP013953.1	NZ_CP013954.1					
GCF_001640925	NZ_CP013955.1	NZ_CP013956.1					
GCF_001641025	NZ_CP013957.1	NZ_CP013958.1					
GCF_001656045	NZ_CP015645.1						
GCF_001656075	NZ_CP015646.1						
GCF_001717645	NZ_CP016855.1	NZ_CP025482.1	NZ_CP016854.1				
GCF_001717665	NZ_CP016856.1	NZ_CP025481.1					
GCF_001717685	NZ_CP016858.1	NZ_CP025486.1	NZ_CP016859.1	NZ_CP016857.1			
GCF_001717705	NZ_CP016861.1	NZ_CP025487.1	NZ_CP016860.1				
GCF_001717725	NZ_CP016863.1	NZ_CP016862.1					
GCF_001717975	NZ_CP017094.1	NZ_CP025488.1	NZ_CP017095.1				
GCF_001725965	NZ_CP012692.1						
GCF_001735655	NZ_CP025495.1	NZ_CP025496.1	NZ_CP025497.1				
GCF_001879545	NZ_CP013132.1						
GCF_001880265	NZ_CP013182.1						
GCF_001887075	NZ_CP013218.1	NZ_CP014695.1	NZ_CP014694.1				
GCF_001900185	NZ_CP018205.1						
GCF_001956755	NZ_CP019117.1						
GCF_001956815	NZ_CP009423.1	NZ_CP009424.1	NZ_CP009425.1				
GCF_001975005	NZ_CP018766.1	NZ_CP018767.1					
GCF_001975045	NZ_CP018768.1	NZ_CP018769.1					
GCF_001986135	NZ_CP019563.1	NZ_CP019564.1	NZ_CP019565.1	NZ_CP019566.1	NZ_CP019567.1		
GCF_002000565	NZ_CP014392.1	NZ_CP014393.1	NZ_CP014394.1	NZ_CP014395.1	NZ_CP014396.1		
GCF_002000585	NZ_CP014397.1	NZ_CP014398.1	NZ_CP014399.1	NZ_CP014400.1	NZ_CP014401.1		
GCF_002000605	NZ_CP014402.1	NZ_CP014403.1	NZ_CP014404.1	NZ_CP014405.1	NZ_CP014406.1		
GCF_002000625	NZ_CP014407.1	NZ_CP014408.1					
GCF_002000645	NZ_CP014409.1	NZ_CP014410.1	NZ_CP014411.1				
GCF_002000665	NZ_CP014412.1	NZ_CP014413.1	NZ_CP014414.1				
