GCF NAME														
GCF_000009885	NC_012731.1	NC_006625.1												
GCF_000016305	NC_009648.1	NC_009649.1	NC_009650.1	NC_009651.1	NC_009652.1	NC_009653.1								
GCF_000220485	NC_017540.1	NC_017541.1												
GCF_000240185	NC_016845.1	NC_016838.1	NC_016846.1	NC_016839.1	NC_016840.1	NC_016847.1	NC_016841.1							
GCF_000281435	NZ_CP007727.1	NZ_CP007730.1	NZ_CP007728.1	NZ_CP007729.1										
GCF_000281535	NZ_CP008827.1	NZ_CP008830.1	NZ_CP008828.1	NZ_CP008829.1										
GCF_000294365	NC_018522.1													
GCF_000364385	NZ_CP006659.2	NZ_CP006663.1	NZ_CP006662.2	NZ_CP006660.1	NZ_CP006661.1									
GCF_000406765	NZ_CP011980.1	NZ_CP011984.1	NZ_CP011981.1	NZ_CP011983.1	NZ_CP011982.1									
GCF_000417225	NZ_CP011976.1	NZ_CP011979.1	NZ_CP011977.1	NZ_CP011978.1										
GCF_000417265	NZ_CP011985.1	NZ_CP011986.1	NZ_CP011988.1	NZ_CP011987.1										
GCF_000465975	NZ_CP012883.1	NZ_CP012884.1												
GCF_000474015	NC_022566.1													
GCF_000512165	NZ_CP003999.1	NZ_CP003996.1	NZ_CP003994.1	NZ_CP003995.1	NZ_CP003997.1	NZ_CP003998.1	NZ_CP004000.1							
GCF_000597905	NZ_CP006918.1	NZ_CP006922.1	NZ_CP006919.1	NZ_CP006921.1										
GCF_000598005	NZ_CP006923.1	NZ_CP006927.1	NZ_CP006926.1	NZ_CP006925.1	NZ_CP006928.1	NZ_CP006924.1								
GCF_000695935	NZ_CP007731.1	NZ_CP007736.1	NZ_CP007732.1	NZ_CP007735.1	NZ_CP007733.1	NZ_CP007734.1								
GCF_000714675	NZ_CP008797.1	NZ_CP008800.1	NZ_CP008798.1	NZ_CP008799.1										
GCF_000717515	NZ_CP008831.1	NZ_CP008832.1	NZ_CP008833.1											
GCF_000733255	NZ_CP006798.1	NZ_CP006799.1	NZ_CP006800.1	NZ_CP006801.1	NZ_CP006802.1									
GCF_000739495	NZ_CP009114.1	NZ_CP009116.1	NZ_CP009115.1											
GCF_000742755	NZ_CP009208.1													
GCF_000764615	NZ_CP008929.1	NZ_CP008930.1	NZ_CP008931.1	NZ_CP008932.1	NZ_CP008933.1									
