GCF NAME																		
B1109	B1109.1	B1109.2																
GCF_000005845	NC_000913.3																	
GCF_000007445	NC_004431.1																	
GCF_000008865	NC_002695.2	NC_002127.1	NC_002128.1															
GCF_000009565	NC_012892.2																	
GCF_000010245	NC_007779.1																	
GCF_000010385	NC_011415.1	NC_011419.1	NC_011413.1	NC_011416.1	NC_011407.1	NC_011408.1	NC_011411.1											
GCF_000010485	NC_013654.1	NC_013655.1																
GCF_000010745	NC_013353.1	NC_013354.1																
GCF_000010765	NC_013364.1	NC_013365.1	NC_013370.1	NC_013366.1	NC_013367.1	NC_013368.1												
GCF_000013265	NC_007946.1	NC_007941.1																
GCF_000013305	NC_008253.1																	
GCF_000014845	NC_008563.1	NC_009837.1	NC_009838.1															
GCF_000017745	NC_009801.1	NC_009791.1	NC_009789.1	NC_009787.1	NC_009788.1	NC_009790.1	NC_009786.1											
GCF_000017765	NC_009800.1																	
GCF_000017985	NC_012967.1																	
GCF_000019385	NC_010468.1																	
GCF_000019425	NC_010473.1																	
GCF_000019645	NC_010498.1	NC_010488.1	NC_010487.1	NC_010486.1	NC_010485.1													
GCF_000021125	NC_011353.1	NC_011350.1	NC_011351.1															
GCF_000022225	NC_013008.1	NC_013010.1																
GCF_000022345	NC_012759.1																	
GCF_000022665	NC_012971.2																	
GCF_000023365	NC_017625.1																	
GCF_000023665	NC_012947.1																	
GCF_000025165	NC_013941.1	NC_013942.1																
GCF_000025745	NC_017628.1																	
GCF_000026245	NC_011748.1																	
GCF_000026265	NC_011741.1																	
GCF_000026285	NC_011742.1	NC_011747.1																
GCF_000026345	NC_011750.1																	
GCF_000026545	NC_011601.1	NC_011603.1	NC_011602.1															
GCF_000027125	NC_017626.1	NC_017627.1																
GCF_000091005	NC_013361.1	NC_013369.1	NC_013362.1	NC_013363.1	NC_014543.1													
GCF_000148365	NC_017631.1	NC_017629.1																
GCF_000148605	NC_017632.1	NC_017630.1																
GCF_000167875	NZ_CP035751.1	NZ_CP035754.1	NZ_CP035756.1	NZ_CP035753.1	NZ_CP035752.1	NZ_CP035755.1												
GCF_000183345	NC_017634.1	NC_017659.1																
GCF_000184185	NC_017635.1	NC_017637.1	NC_017636.1															
GCF_000210475	NC_017633.1	NC_017721.1	NC_017723.1	NC_017722.1	NC_017724.1													
GCF_000212715	NC_017641.1	NC_017645.1	NC_017642.1	NC_017640.1	NC_017643.1	NC_017639.1												
GCF_000219515	NZ_CP006632.1	NZ_CP006633.1	NZ_CP006634.1	NZ_CP006635.1														
GCF_000227625	NC_017646.1	NC_017647.1	NC_017648.1	NC_017649.1	NC_017650.1													
GCF_000233875	NC_017651.1																	
GCF_000233895	NC_017652.1																	
GCF_000245515	NC_017656.1	NC_017653.1	NC_017657.1	NC_017654.1	NC_017658.1	NC_017655.1												
GCF_000258025	NC_017660.1	NC_017661.1																
GCF_000258145	NC_017664.1	NC_017665.1	NC_017662.1															
GCF_000262125	NC_017906.1	NC_017907.1	NC_017903.1															
GCF_000270105	NC_017638.1																	
GCF_000284495	NC_011993.1																	
GCF_000285655	NZ_HG941718.1	NZ_HG941719.1	NZ_HG941720.1															
GCF_000299255	NC_018650.1	NC_018651.1	NC_018654.1	NC_018652.1														
GCF_000299455	NC_018658.1	NC_018666.1	NC_018659.1	NC_018660.1														
GCF_000299475	NC_018661.1	NC_018662.1	NC_018663.1															
GCF_000332755	NC_020163.1																	
GCF_000464955	NZ_CP023541.1	NZ_CP023542.1																
GCF_000468515	NC_022364.1																	
GCF_000493755	NC_022648.1	NC_022661.1	NC_022649.1	NC_022662.1	NC_022650.1	NC_022651.1												
GCF_000499485	NZ_HG738867.1																	
GCF_000520035	NZ_CP006027.1	NZ_CP006028.1	NZ_CP006029.1															
GCF_000520055	NZ_CP006262.1	NZ_CP006263.1	NZ_CP006264.1															
GCF_000597845	NZ_CP007265.1																	
GCF_000599625	NZ_CP007390.1																	
GCF_000599645	NZ_CP007391.1																	
GCF_000599665	NZ_CP007392.1																	
GCF_000599685	NZ_CP007393.1																	
GCF_000599705	NZ_CP007394.1																	
GCF_000618005	NZ_CP051001.1																	
GCF_000618905	NZ_CP050998.1	NZ_CP050997.1	NZ_CP050999.1	NZ_CP051000.1														
GCF_000662395	NZ_CP007133.1	NZ_CP007135.1	NZ_CP007134.1															
GCF_000671295	NZ_CP007136.1	NZ_CP007138.1	NZ_CP007137.1															
GCF_000714595	NZ_CP007799.1																	
GCF_000725305	NZ_CP008801.1																	
GCF_000730345	NZ_CP008805.1	NZ_CP008807.1	NZ_CP008806.1															
GCF_000732965	NZ_CP008957.1	NZ_CP008958.1																
GCF_000743255	NZ_CP009072.1	NZ_CP009073.1	NZ_CP009074.1															
GCF_000750555	NZ_CP009273.1																	
GCF_000784925	NZ_CP009859.1	NZ_CP009861.1	NZ_CP009862.1	NZ_CP009860.1														
GCF_000800215	NZ_CP009644.1																	
GCF_000800765	NZ_CP009789.1																	
GCF_000801165	NZ_CP009104.1	NZ_CP009105.1																
GCF_000801185	NZ_CP009106.2	NZ_CP009107.1																
GCF_000801205	NZ_CP009685.1																	
GCF_000803705	NZ_CP010304.1	NZ_CP010305.1																
GCF_000813165	NZ_CP005930.1	NZ_CP005931.1	NZ_CP005932.1															
GCF_000814145	NZ_CP010371.1	NZ_CP010372.1	NZ_CP010373.2															
GCF_000819645	NZ_CP010315.1	NZ_CP010317.1	NZ_CP010318.1	NZ_CP010316.1														
GCF_000827105	NZ_CP007592.1																	
GCF_000829985	NZ_CP009166.1	NZ_CP009167.1	NZ_CP009169.1	NZ_CP009168.1														
GCF_000830035	NZ_CP010585.1																	
GCF_000831565	NZ_CP010344.1	NZ_CP010345.1																
GCF_000833145	NZ_CP010816.1																	
GCF_000833635	NZ_CP011124.1																	
GCF_000931565	NZ_CP010876.1	NZ_CP010877.1	NZ_CP010878.1	NZ_CP010879.1	NZ_CP010880.1	NZ_CP010881.1	NZ_CP010882.1											
GCF_000952955	NZ_LM995446.1																	
GCF_000953515	NZ_LM993812.1																	
GCF_000967155	NZ_HF572917.1	NC_022742.1	NC_022743.1	NC_022741.1														
GCF_000968515	NZ_CP011134.1	NZ_CP011135.1	NZ_CP011136.1	NZ_CP011137.1	NZ_CP011138.1	NZ_CP011139.1	NZ_CP011140.1	NZ_CP011141.1	NZ_CP011142.1	NZ_CP011143.1								
GCF_000971615	NZ_CP011018.1	NZ_CP011019.1																
GCF_000974405	NZ_CP010438.1																	
GCF_000974465	NZ_CP010439.1																	
GCF_000974505	NZ_CP010440.1																	
GCF_000974535	NZ_CP010441.1																	
GCF_000974575	NZ_CP010442.1																	
GCF_000974825	NZ_CP010443.1																	
GCF_000974865	NZ_CP010444.1																	
GCF_000974885	NZ_CP010445.1																	
GCF_000978815	NZ_CP076232.1	NZ_CP076233.1	NZ_CP076234.1															
GCF_000978845	NZ_CP076230.1	NZ_CP076231.1																
GCF_000981485	NZ_LN832404.1																	
GCF_000986765	NZ_CP011331.1	NZ_CP011332.1	NZ_CP011333.1	NZ_CP011334.1	NZ_CP011335.1	NZ_CP011336.1	NZ_CP011337.1	NZ_CP011338.1										
GCF_000987875	NZ_CP007594.1																	
GCF_000988355	NZ_CP011320.1																	
GCF_000988385	NZ_CP011321.1																	
GCF_000988425	NZ_CP011322.1																	
GCF_000988465	NZ_CP011324.1																	
GCF_001007915	NZ_CP011416.1	NZ_CP011417.1	NZ_CP011418.1															
